name;number of persons;number of locations;number of organisations;number of named entities;number of words;relative number of Persons;relative number of locations;relative number of organisations
1700_4.txt;5;0;0;5;171;0.03;0.0;0.0
9264_4.txt;60;0;1;61;319;0.19;0.0;0.0
4359_3.txt;4;2;1;7;751;0.01;0.0;0.0
7658_1.txt;12;3;3;18;404;0.03;0.01;0.01
1041_1.txt;6;3;0;9;191;0.03;0.02;0.0
3609_1.txt;3;0;0;3;190;0.02;0.0;0.0
721_1.txt;0;0;0;0;129;0.0;0.0;0.0
2874_1.txt;0;0;1;1;328;0.0;0.0;0.0
1472_1.txt;5;0;0;5;158;0.03;0.0;0.0
5508_2.txt;23;1;4;28;305;0.08;0.0;0.01
370_1.txt;0;0;2;2;94;0.0;0.0;0.02
8579_2.txt;20;1;0;21;416;0.05;0.0;0.0
7152_1.txt;16;1;0;17;181;0.09;0.01;0.0
424_4.txt;11;1;13;25;387;0.03;0.0;0.03
9746_1.txt;4;2;0;6;175;0.02;0.01;0.0
12188_4.txt;9;2;3;14;412;0.02;0.0;0.01
1880_4.txt;8;0;2;10;130;0.06;0.0;0.02
11114_1.txt;0;0;0;0;51;0.0;0.0;0.0
9899_4.txt;22;0;2;24;147;0.15;0.0;0.01
8514_1.txt;0;0;0;0;150;0.0;0.0;0.0
2839_2.txt;2;0;0;2;107;0.02;0.0;0.0
9897_4.txt;6;1;0;7;204;0.03;0.0;0.0
3525_2.txt;0;0;0;0;64;0.0;0.0;0.0
2142_4.txt;0;0;0;0;145;0.0;0.0;0.0
1863_1.txt;0;0;0;0;58;0.0;0.0;0.0
4747_1.txt;2;0;1;3;139;0.01;0.0;0.01
5014_1.txt;3;0;0;3;239;0.01;0.0;0.0
10551_1.txt;2;0;0;2;199;0.01;0.0;0.0
1349_3.txt;0;0;0;0;322;0.0;0.0;0.0
1703_4.txt;14;4;0;18;174;0.08;0.02;0.0
6536_3.txt;0;2;0;2;75;0.0;0.03;0.0
7560_1.txt;4;0;0;4;141;0.03;0.0;0.0
2781_2.txt;0;1;0;1;239;0.0;0.0;0.0
5512_1.txt;7;0;0;7;369;0.02;0.0;0.0
5955_3.txt;9;0;0;9;484;0.02;0.0;0.0
6684_1.txt;9;0;2;11;121;0.07;0.0;0.02
2480_2.txt;6;0;0;6;499;0.01;0.0;0.0
6754_1.txt;2;0;0;2;129;0.02;0.0;0.0
4983_2.txt;2;0;0;2;132;0.02;0.0;0.0
5117_2.txt;2;0;1;3;270;0.01;0.0;0.0
3479_1.txt;2;0;0;2;155;0.01;0.0;0.0
3802_2.txt;13;0;0;13;168;0.08;0.0;0.0
6492_3.txt;1;0;0;1;235;0.0;0.0;0.0
9649_1.txt;21;4;0;25;364;0.06;0.01;0.0
8097_4.txt;23;0;0;23;351;0.07;0.0;0.0
7126_1.txt;0;0;0;0;165;0.0;0.0;0.0
1659_2.txt;0;0;0;0;57;0.0;0.0;0.0
4518_2.txt;6;1;1;8;399;0.02;0.0;0.0
531_2.txt;2;0;0;2;216;0.01;0.0;0.0
