name;number of persons;number of locations;number of organisations;number of named entities;number of words;relative number of Persons;relative number of locations;relative number of organisations
7812_8.txt;10;10;6;26;389;0.03;0.03;0.02
4604_10.txt;14;0;0;14;368;0.04;0.0;0.0
11880_10.txt;34;0;0;34;594;0.06;0.0;0.0
10021_8.txt;7;0;1;8;167;0.04;0.0;0.01
7646_8.txt;4;0;0;4;75;0.05;0.0;0.0
6192_9.txt;13;1;2;16;564;0.02;0.0;0.0
5534_7.txt;11;2;2;15;783;0.01;0.0;0.0
8428_7.txt;2;0;0;2;349;0.01;0.0;0.0
267_7.txt;8;5;0;13;192;0.04;0.03;0.0
686_9.txt;2;0;2;4;108;0.02;0.0;0.02
5665_9.txt;9;2;0;11;346;0.03;0.01;0.0
3058_9.txt;4;0;0;4;124;0.03;0.0;0.0
468_7.txt;12;1;7;20;362;0.03;0.0;0.02
4484_8.txt;34;4;3;41;464;0.07;0.01;0.01
7796_10.txt;7;0;0;7;165;0.04;0.0;0.0
556_9.txt;18;4;0;22;185;0.1;0.02;0.0
9243_8.txt;0;0;2;2;216;0.0;0.0;0.01
9263_8.txt;0;4;0;4;200;0.0;0.02;0.0
5839_7.txt;10;0;1;11;182;0.05;0.0;0.01
3281_10.txt;8;0;0;8;169;0.05;0.0;0.0
2912_9.txt;17;0;0;17;401;0.04;0.0;0.0
6680_7.txt;8;0;0;8;246;0.03;0.0;0.0
6345_7.txt;6;0;0;6;110;0.05;0.0;0.0
2482_10.txt;6;1;0;7;125;0.05;0.01;0.0
11104_10.txt;8;0;1;9;262;0.03;0.0;0.0
2501_8.txt;2;1;1;4;359;0.01;0.0;0.0
5875_8.txt;7;0;1;8;162;0.04;0.0;0.01
7891_8.txt;35;4;0;39;428;0.08;0.01;0.0
3825_8.txt;0;0;0;0;305;0.0;0.0;0.0
10847_10.txt;2;0;0;2;163;0.01;0.0;0.0
12000_8.txt;4;0;0;4;187;0.02;0.0;0.0
11448_10.txt;7;0;0;7;311;0.02;0.0;0.0
1531_8.txt;44;1;3;48;527;0.08;0.0;0.01
40_8.txt;9;0;1;10;312;0.03;0.0;0.0
7262_10.txt;5;2;0;7;230;0.02;0.01;0.0
6770_10.txt;2;0;1;3;204;0.01;0.0;0.0
9865_8.txt;0;0;0;0;101;0.0;0.0;0.0
8052_9.txt;28;5;0;33;675;0.04;0.01;0.0
171_8.txt;23;0;3;26;309;0.07;0.0;0.01
11807_7.txt;19;0;0;19;187;0.1;0.0;0.0
8565_7.txt;0;0;0;0;84;0.0;0.0;0.0
4854_7.txt;4;0;0;4;139;0.03;0.0;0.0
10275_10.txt;7;0;0;7;279;0.03;0.0;0.0
8366_10.txt;0;0;1;1;101;0.0;0.0;0.01
3488_7.txt;60;5;13;78;987;0.06;0.01;0.01
3091_10.txt;1;0;5;6;299;0.0;0.0;0.02
2566_8.txt;6;0;0;6;204;0.03;0.0;0.0
8232_10.txt;24;3;0;27;249;0.1;0.01;0.0
5952_9.txt;23;1;0;24;237;0.1;0.0;0.0
8705_8.txt;4;1;0;5;271;0.01;0.0;0.0
4349_10.txt;30;0;0;30;252;0.12;0.0;0.0
1449_9.txt;14;0;0;14;315;0.04;0.0;0.0
12412_9.txt;19;3;0;22;589;0.03;0.01;0.0
3583_10.txt;0;0;0;0;72;0.0;0.0;0.0
9357_7.txt;30;3;0;33;245;0.12;0.01;0.0
4043_7.txt;1;1;0;2;231;0.0;0.0;0.0
12100_8.txt;4;0;0;4;410;0.01;0.0;0.0
365_10.txt;2;0;0;2;65;0.03;0.0;0.0
2644_8.txt;4;0;0;4;175;0.02;0.0;0.0
5391_9.txt;31;0;1;32;486;0.06;0.0;0.0
4640_10.txt;0;6;0;6;186;0.0;0.03;0.0
5533_7.txt;8;3;3;14;519;0.02;0.01;0.01
7279_9.txt;0;0;0;0;142;0.0;0.0;0.0
8293_8.txt;10;3;0;13;311;0.03;0.01;0.0
1919_8.txt;12;0;0;12;325;0.04;0.0;0.0
11672_10.txt;22;0;0;22;202;0.11;0.0;0.0
6493_10.txt;3;4;0;7;182;0.02;0.02;0.0
9786_8.txt;2;0;0;2;122;0.02;0.0;0.0
7407_10.txt;0;0;0;0;184;0.0;0.0;0.0
151_10.txt;4;0;0;4;127;0.03;0.0;0.0
2367_8.txt;6;2;0;8;158;0.04;0.01;0.0
1990_10.txt;34;5;6;45;575;0.06;0.01;0.01
4130_9.txt;5;0;0;5;24;0.21;0.0;0.0
4940_7.txt;8;0;0;8;137;0.06;0.0;0.0
2649_7.txt;2;0;0;2;90;0.02;0.0;0.0
254_8.txt;14;2;2;18;447;0.03;0.0;0.0
9563_9.txt;7;0;1;8;136;0.05;0.0;0.01
1648_10.txt;0;3;0;3;184;0.0;0.02;0.0
937_10.txt;5;0;3;8;287;0.02;0.0;0.01
5796_8.txt;46;0;0;46;879;0.05;0.0;0.0
8806_9.txt;8;1;0;9;426;0.02;0.0;0.0
5611_10.txt;7;1;0;8;338;0.02;0.0;0.0
4170_8.txt;6;0;1;7;222;0.03;0.0;0.0
747_10.txt;7;0;0;7;294;0.02;0.0;0.0
7480_10.txt;4;0;0;4;195;0.02;0.0;0.0
1422_10.txt;5;4;3;12;494;0.01;0.01;0.01
11298_8.txt;37;3;0;40;527;0.07;0.01;0.0
956_9.txt;1;5;0;6;192;0.01;0.03;0.0
10504_9.txt;3;0;0;3;149;0.02;0.0;0.0
1263_8.txt;13;0;0;13;253;0.05;0.0;0.0
1883_7.txt;19;0;0;19;169;0.11;0.0;0.0
8140_10.txt;0;0;3;3;243;0.0;0.0;0.01
554_7.txt;17;0;0;17;240;0.07;0.0;0.0
977_8.txt;12;1;0;13;885;0.01;0.0;0.0
8730_8.txt;8;0;0;8;187;0.04;0.0;0.0
11289_10.txt;5;0;0;5;93;0.05;0.0;0.0
8738_8.txt;0;0;1;1;74;0.0;0.0;0.01
